,crp,hns,fnr,fis,rcsB,arcA,fur,cra,phoB,soxS,gadE,fliZ,gadX,leuO,lrp,ompR,evgA,bglJ,ydeO,gadW,oxyR,stpA,csgD,mlrA,rhaR,galR,fhlA,rhaS,srlR,xylR,mazE,uxuR,galS,exuR,mazF,cspA,flhD,flhC,dcuR
0.2-7,0.9,0.5,0.795031055900621,0.0,0.0,0.0476190476190476,0.0,0.9,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496124031007752,0.615384615384615,0.0,0.0,0.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2-8,0.966666666666667,0.0,0.702127659574468,0.0,0.0638297872340425,0.404255319148936,0.0,0.966666666666667,0.984375,0.0,0.0,0.0,0.0,0.0638297872340425,0.0,0.6,0.12,0.0638297872340425,0.12,0.0731707317073171,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340425531914894
0.2-9,0.958333333333333,0.0,0.566666666666667,0.0,0.5,0.0,0.0,0.958333333333333,0.979166666666667,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.4-0,0.0,0.0,0.476190476190476,0.0,0.4,0.099009900990099,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.489296636085627,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638977635782748,0.0,0.638977635782748,0.0,0.0,0.0,0.0,0.0
0.4-1,0.993055555555556,0.0,0.810606060606061,0.0,0.5,0.242424242424242,0.0,0.993055555555556,0.997395833333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.110982658959538,0.0,0.0,0.0,0.0,0.0,0.0,0.989690721649485,0.0,0.0,0.0,0.0,0.0,0.0
0.4-2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4-3,0.958333333333333,0.0,0.172043010752688,0.0,0.2,0.168421052631579,0.0,0.958333333333333,0.9375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4-4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
