,gadX,fur,rob,bglJ,gadW,rhaS,fis,rhaR,ompR,putA,tdcA,zraR,cspA,metR,soxR,nhaR,yjjQ,ydeO,marR,leuO,ptsG,melR,xylR,adiY,fliZ,uxuR,malI,srlR,hns,arcA,dpiA,hdfR,yiaJ,aidB,nikR,purR,puuR,fnr,metJ,fucR,exuR,cadC,nac,galS,crp,idnR,csgD,lrp,marA,oxyR,flhD,glnG,gutM,yqjI,hyfR,araC,rcsA,prpR,dcuR,mazE,mazF,betI,evgA,mlrA,stpA,gadE,flhC,soxS,lldR,yeiL,rcsB,lsrR,asnC,galR,narL,mlc
0.4-0,0.114893617021277,0.217021276595745,0.217021276595745,0.361702127659574,0.0,0.595744680851064,0.0,0.234042553191489,0.0,0.0,0.0,0.438297872340426,0.0,0.195744680851064,0.157446808510638,0.0,0.361702127659574,0.0,0.0,0.0,0.0,0.429787234042553,0.0,0.361702127659574,0.0,0.0,0.0,0.0,0.0,0.195744680851064,0.0,0.361702127659574,0.0,0.0,0.157446808510638,0.0,0.0978723404255319,0.157446808510638,0.157446808510638,0.421276595744681,0.0,0.0,0.157446808510638,0.493617021276596,0.0,0.0,0.0,0.0,0.0,0.0,0.114893617021277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978723404255319,0.0,0.0,0.0,0.0,0.0,0.361702127659574,0.0,0.114893617021277,0.195744680851064,0.217021276595745,0.0,0.361702127659574,0.0,0.195744680851064,0.370212765957447,0.195744680851064,0.0
0.4-1,0.369426751592357,0.0,0.0318471337579618,0.0,0.0,0.0,0.0,0.0,0.0,0.0318471337579618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636942675159236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0955414012738854,0.0,0.515923566878981,0.0,0.464968152866242,0.0,0.0,0.0700636942675159,0.0,0.369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452229299363057,0.0,0.0
0.4-2,0.169811320754717,0.0452830188679245,0.0452830188679245,0.0150943396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192452830188679,0.0,0.245283018867925,0.0,0.0150943396226415,0.0,0.030188679245283,0.0226415094339623,0.0,0.0,0.0,0.192452830188679,0.0981132075471698,0.449056603773585,0.0,0.0,0.245283018867925,0.245283018867925,0.0,0.192452830188679,0.0,0.0,0.0339622641509434,0.0339622641509434,0.124528301886792,0.320754716981132,0.0339622641509434,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.460377358490566,0.0,0.0,0.0,0.139622641509434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116981132075472,0.0,0.132075471698113,0.0,0.0,0.0,0.0830188679245283,0.320754716981132,0.0,0.192452830188679,0.0,0.0,0.0,0.245283018867925,0.0
0.4-3,0.506185567010309,0.0,0.172164948453608,0.44639175257732,0.0505154639175258,0.0,0.0,0.387628865979381,0.0,0.0,0.563917525773196,0.539175257731959,0.0,0.0,0.154639175257732,0.0123711340206186,0.44639175257732,0.22680412371134,0.110309278350515,0.276288659793814,0.0,0.506185567010309,0.0,0.138144329896907,0.424742268041237,0.0,0.0,0.0,0.0134020618556701,0.154639175257732,0.0,0.138144329896907,0.0,0.179381443298969,0.088659793814433,0.0,0.0,0.172164948453608,0.0,0.0,0.0,0.0,0.0,0.00721649484536083,0.0,0.512371134020619,0.0,0.0391752577319588,0.0,0.0,0.0742268041237113,0.0,0.0,0.154639175257732,0.0,0.0,0.119587628865979,0.0,0.0,0.0,0.0,0.0,0.0,0.168041237113402,0.0257731958762887,0.0164948453608247,0.452577319587629,0.154639175257732,0.172164948453608,0.18659793814433,0.138144329896907,0.0,0.0,0.00721649484536083,0.154639175257732,0.0
0.4-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456730769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6-0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0
0.6-1,0.00462962962962963,0.0,0.0138888888888889,0.0,0.00925925925925926,0.0,0.0,0.0,0.0,0.0,0.236111111111111,0.0,0.0,0.00925925925925926,0.0,0.217592592592593,0.0,0.00925925925925926,0.037037037037037,0.0,0.0,0.37962962962963,0.0,0.00925925925925926,0.0,0.0,0.0,0.0,0.0,0.0138888888888889,0.0,0.00925925925925926,0.0,0.00925925925925926,0.25462962962963,0.0324074074074074,0.087962962962963,0.037037037037037,0.0324074074074074,0.0,0.0,0.0,0.0138888888888889,0.00462962962962963,0.0,0.0,0.00462962962962963,0.00925925925925926,0.0,0.0,0.00462962962962963,0.0,0.0,0.0138888888888889,0.0,0.0,0.00925925925925926,0.0,0.0,0.0,0.0,0.240740740740741,0.0,0.0,0.00925925925925926,0.00925925925925926,0.0,0.0324074074074074,0.277777777777778,0.0,0.00925925925925926,0.0,0.25462962962963,0.00462962962962963,0.0138888888888889,0.0
0.6-2,0.0,0.0,0.280044101433297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683572216097023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407938257993385,0.0,0.0,0.0,0.0,0.0407938257993385,0.0,0.0,0.239250275633958,0.0,0.355016538037486,0.0,0.0,0.0407938257993385,0.282249173098126,0.0,0.331863285556781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407938257993385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683572216097023,0.0,0.0407938257993385,0.280044101433297,0.0,0.0,0.0,0.280044101433297,0.282249173098126,0.0407938257993385,0.0
0.6-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412765957446808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434042553191489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6-4,0.0,0.0,0.0,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475247524752475,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198019801980198,0.0,0.0,0.0,0.0099009900990099,0.0,0.0,0.0495049504950495,0.0495049504950495,0.0,0.0,0.0,0.257425742574257,0.0,0.0,0.0,0.455445544554455,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0,0.0198019801980198,0.0,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0396039603960396,0.485148514851485,0.0,0.0,0.0099009900990099,0.0,0.0495049504950495,0.0,0.0,0.0,0.0,0.0,0.0,0.0198019801980198,0.0
0.8-0,0.423076923076923,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115384615384615,0.0,0.0384615384615385,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192307692307692,0.0,0.0,0.0,0.0,0.115384615384615,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,0.0
0.8-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8-3,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.3,0.0,0.0,0.45,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.0,0.45,0.0
0.8-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444444,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0555555555555556,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
